,code,region,Value,Outlet_Type,year,month
105,11A1315,Valongo,101,Total,2024,11
106,11A1316,Vila do Conde,94,Total,2024,11
107,11A1317,Vila Nova de Gaia,397,Total,2024,11
108,11A,Área Metropolitana do Porto,1541,Mennekes,2024,11
109,11A0104,Arouca,7,Mennekes,2024,11
110,11A0107,Espinho,16,Mennekes,2024,11
111,11A1304,Gondomar,68,Mennekes,2024,11
112,11A1306,Maia,130,Mennekes,2024,11
113,11A1308,Matosinhos,246,Mennekes,2024,11
114,11A0113,Oliveira de Azeméis,15,Mennekes,2024,11
115,11A1310,Paredes,29,Mennekes,2024,11
116,11A1312,Porto,395,Mennekes,2024,11
117,11A1313,Póvoa de Varzim,53,Mennekes,2024,11
118,11A0109,Santa Maria da Feira,131,Mennekes,2024,11
119,11A1314,Santo Tirso,27,Mennekes,2024,11
120,11A0116,São João da Madeira,39,Mennekes,2024,11
121,11A1318,Trofa,15,Mennekes,2024,11
122,11A0119,Vale de Cambra,5,Mennekes,2024,11
123,11A1315,Valongo,52,Mennekes,2024,11
124,11A1316,Vila do Conde,62,Mennekes,2024,11
125,11A1317,Vila Nova de Gaia,251,Mennekes,2024,11
126,11A,Área Metropolitana do Porto,324,CHAdeMO,2024,11
127,11A0104,Arouca,1,CHAdeMO,2024,11
128,11A0107,Espinho,4,CHAdeMO,2024,11
129,11A1304,Gondomar,16,CHAdeMO,2024,11
130,11A1306,Maia,19,CHAdeMO,2024,11
131,11A1308,Matosinhos,39,CHAdeMO,2024,11
132,11A0113,Oliveira de Azeméis,4,CHAdeMO,2024,11
133,11A1310,Paredes,12,CHAdeMO,2024,11
134,11A1312,Porto,70,CHAdeMO,2024,11
135,11A1313,Póvoa de Varzim,12,CHAdeMO,2024,11
136,11A0109,Santa Maria da Feira,20,CHAdeMO,2024,11
137,11A1314,Santo Tirso,15,CHAdeMO,2024,11
138,11A0116,São João da Madeira,5,CHAdeMO,2024,11
139,11A1318,Trofa,8,CHAdeMO,2024,11
140,11A0119,Vale de Cambra,4,CHAdeMO,2024,11
141,11A1315,Valongo,20,CHAdeMO,2024,11
142,11A1316,Vila do Conde,11,CHAdeMO,2024,11
143,11A1317,Vila Nova de Gaia,64,CHAdeMO,2024,11
144,11A,Área Metropolitana do Porto,458,CCS,2024,11
145,11A0104,Arouca,1,CCS,2024,11
146,11A0107,Espinho,4,CCS,2024,11
147,11A1304,Gondomar,28,CCS,2024,11
148,11A1306,Maia,28,CCS,2024,11
149,11A1308,Matosinhos,70,CCS,2024,11
150,11A0113,Oliveira de Azeméis,5,CCS,2024,11
151,11A1310,Paredes,13,CCS,2024,11
152,11A1312,Porto,83,CCS,2024,11
153,11A1313,Póvoa de Varzim,23,CCS,2024,11
154,11A0109,Santa Maria da Feira,34,CCS,2024,11
155,11A1314,Santo Tirso,17,CCS,2024,11
156,11A0116,São João da Madeira,7,CCS,2024,11
157,11A1318,Trofa,10,CCS,2024,11
158,11A0119,Vale de Cambra,3,CCS,2024,11
159,11A1315,Valongo,29,CCS,2024,11
160,11A1316,Vila do Conde,21,CCS,2024,11
161,11A1317,Vila Nova de Gaia,82,CCS,2024,11
162,11A,Área Metropolitana do Porto,,Industrial,2024,11
163,11A0104,Arouca,,Industrial,2024,11
164,11A0107,Espinho,,Industrial,2024,11
165,11A1304,Gondomar,,Industrial,2024,11
166,11A1306,Maia,,Industrial,2024,11
167,11A1308,Matosinhos,,Industrial,2024,11
168,11A0113,Oliveira de Azeméis,,Industrial,2024,11
169,11A1310,Paredes,,Industrial,2024,11
170,11A1312,Porto,,Industrial,2024,11
171,11A1313,Póvoa de Varzim,,Industrial,2024,11
172,11A0109,Santa Maria da Feira,,Industrial,2024,11
173,11A1314,Santo Tirso,,Industrial,2024,11
174,11A0116,São João da Madeira,,Industrial,2024,11
175,11A1318,Trofa,,Industrial,2024,11
176,11A0119,Vale de Cambra,,Industrial,2024,11
177,11A1315,Valongo,,Industrial,2024,11
178,11A1316,Vila do Conde,,Industrial,2024,11
179,11A1317,Vila Nova de Gaia,,Industrial,2024,11
180,11A,Área Metropolitana do Porto,2225,Total,2024,10
181,11A0104,Arouca,9,Total,2024,10
182,11A0107,Espinho,24,Total,2024,10
183,11A1304,Gondomar,112,Total,2024,10
184,11A1306,Maia,176,Total,2024,10
185,11A1308,Matosinhos,352,Total,2024,10
186,11A0113,Oliveira de Azeméis,22,Total,2024,10
187,11A1310,Paredes,54,Total,2024,10
188,11A1312,Porto,515,Total,2024,10
189,11A1313,Póvoa de Varzim,87,Total,2024,10
190,11A0109,Santa Maria da Feira,185,Total,2024,10
191,11A1314,Santo Tirso,58,Total,2024,10
192,11A0116,São João da Madeira,31,Total,2024,10
193,11A1318,Trofa,33,Total,2024,10
194,11A0119,Vale de Cambra,12,Total,2024,10
195,11A1315,Valongo,98,Total,2024,10
196,11A1316,Vila do Conde,91,Total,2024,10
197,11A1317,Vila Nova de Gaia,366,Total,2024,10
198,11A,Área Metropolitana do Porto,1461,Mennekes,2024,10
199,11A0104,Arouca,7,Mennekes,2024,10
200,11A0107,Espinho,16,Mennekes,2024,10
201,11A1304,Gondomar,68,Mennekes,2024,10
202,11A1306,Maia,129,Mennekes,2024,10
203,11A1308,Matosinhos,245,Mennekes,2024,10
204,11A0113,Oliveira de Azeméis,13,Mennekes,2024,10
205,11A1310,Paredes,29,Mennekes,2024,10
206,11A1312,Porto,364,Mennekes,2024,10
207,11A1313,Póvoa de Varzim,52,Mennekes,2024,10
208,11A0109,Santa Maria da Feira,131,Mennekes,2024,10
209,11A1314,Santo Tirso,26,Mennekes,2024,10
210,11A0116,São João da Madeira,19,Mennekes,2024,10
211,11A1318,Trofa,15,Mennekes,2024,10
212,11A0119,Vale de Cambra,5,Mennekes,2024,10
213,11A1315,Valongo,49,Mennekes,2024,10
214,11A1316,Vila do Conde,61,Mennekes,2024,10
215,11A1317,Vila Nova de Gaia,232,Mennekes,2024,10
216,11A,Área Metropolitana do Porto,317,CHAdeMO,2024,10
217,11A0104,Arouca,1,CHAdeMO,2024,10
218,11A0107,Espinho,4,CHAdeMO,2024,10
219,11A1304,Gondomar,16,CHAdeMO,2024,10
220,11A1306,Maia,19,CHAdeMO,2024,10
221,11A1308,Matosinhos,39,CHAdeMO,2024,10
222,11A0113,Oliveira de Azeméis,4,CHAdeMO,2024,10
223,11A1310,Paredes,12,CHAdeMO,2024,10
224,11A1312,Porto,69,CHAdeMO,2024,10
225,11A1313,Póvoa de Varzim,12,CHAdeMO,2024,10
226,11A0109,Santa Maria da Feira,20,CHAdeMO,2024,10
227,11A1314,Santo Tirso,15,CHAdeMO,2024,10
228,11A0116,São João da Madeira,5,CHAdeMO,2024,10
229,11A1318,Trofa,8,CHAdeMO,2024,10
230,11A0119,Vale de Cambra,4,CHAdeMO,2024,10
231,11A1315,Valongo,20,CHAdeMO,2024,10
232,11A1316,Vila do Conde,10,CHAdeMO,2024,10
233,11A1317,Vila Nova de Gaia,59,CHAdeMO,2024,10
234,11A,Área Metropolitana do Porto,447,CCS,2024,10
235,11A0104,Arouca,1,CCS,2024,10
236,11A0107,Espinho,4,CCS,2024,10
237,11A1304,Gondomar,28,CCS,2024,10
238,11A1306,Maia,28,CCS,2024,10
239,11A1308,Matosinhos,68,CCS,2024,10
240,11A0113,Oliveira de Azeméis,5,CCS,2024,10
241,11A1310,Paredes,13,CCS,2024,10
242,11A1312,Porto,82,CCS,2024,10
243,11A1313,Póvoa de Varzim,23,CCS,2024,10
244,11A0109,Santa Maria da Feira,34,CCS,2024,10
245,11A1314,Santo Tirso,17,CCS,2024,10
246,11A0116,São João da Madeira,7,CCS,2024,10
247,11A1318,Trofa,10,CCS,2024,10
248,11A0119,Vale de Cambra,3,CCS,2024,10
249,11A1315,Valongo,29,CCS,2024,10
250,11A1316,Vila do Conde,20,CCS,2024,10
251,11A1317,Vila Nova de Gaia,75,CCS,2024,10
252,11A,Área Metropolitana do Porto,,Industrial,2024,10
253,11A0104,Arouca,,Industrial,2024,10
254,11A0107,Espinho,,Industrial,2024,10
255,11A1304,Gondomar,,Industrial,2024,10
256,11A1306,Maia,,Industrial,2024,10
257,11A1308,Matosinhos,,Industrial,2024,10
258,11A0113,Oliveira de Azeméis,,Industrial,2024,10
259,11A1310,Paredes,,Industrial,2024,10
260,11A1312,Porto,,Industrial,2024,10
261,11A1313,Póvoa de Varzim,,Industrial,2024,10
262,11A0109,Santa Maria da Feira,,Industrial,2024,10
263,11A1314,Santo Tirso,,Industrial,2024,10
264,11A0116,São João da Madeira,,Industrial,2024,10
265,11A1318,Trofa,,Industrial,2024,10
266,11A0119,Vale de Cambra,,Industrial,2024,10
267,11A1315,Valongo,,Industrial,2024,10
268,11A1316,Vila do Conde,,Industrial,2024,10
269,11A1317,Vila Nova de Gaia,,Industrial,2024,10
270,11A,Área Metropolitana do Porto,2167,Total,2024,9
271,11A0104,Arouca,9,Total,2024,9
272,11A0107,Espinho,24,Total,2024,9
273,11A1304,Gondomar,103,Total,2024,9
274,11A1306,Maia,163,Total,2024,9
275,11A1308,Matosinhos,352,Total,2024,9
276,11A0113,Oliveira de Azeméis,20,Total,2024,9
277,11A1310,Paredes,54,Total,2024,9
278,11A1312,Porto,511,Total,2024,9
279,11A1313,Póvoa de Varzim,85,Total,2024,9
280,11A0109,Santa Maria da Feira,179,Total,2024,9
281,11A1314,Santo Tirso,56,Total,2024,9
282,11A0116,São João da Madeira,29,Total,2024,9
283,11A1318,Trofa,33,Total,2024,9
284,11A0119,Vale de Cambra,12,Total,2024,9
285,11A1315,Valongo,95,Total,2024,9
286,11A1316,Vila do Conde,85,Total,2024,9
287,11A1317,Vila Nova de Gaia,357,Total,2024,9
288,11A,Área Metropolitana do Porto,1411,Mennekes,2024,9
289,11A0104,Arouca,7,Mennekes,2024,9
290,11A0107,Espinho,16,Mennekes,2024,9
291,11A1304,Gondomar,63,Mennekes,2024,9
292,11A1306,Maia,118,Mennekes,2024,9
293,11A1308,Matosinhos,243,Mennekes,2024,9
294,11A0113,Oliveira de Azeméis,11,Mennekes,2024,9
295,11A1310,Paredes,29,Mennekes,2024,9
296,11A1312,Porto,360,Mennekes,2024,9
297,11A1313,Póvoa de Varzim,50,Mennekes,2024,9
298,11A0109,Santa Maria da Feira,127,Mennekes,2024,9
299,11A1314,Santo Tirso,24,Mennekes,2024,9
300,11A0116,São João da Madeira,17,Mennekes,2024,9
301,11A1318,Trofa,15,Mennekes,2024,9
302,11A0119,Vale de Cambra,5,Mennekes,2024,9
303,11A1315,Valongo,46,Mennekes,2024,9
304,11A1316,Vila do Conde,55,Mennekes,2024,9
305,11A1317,Vila Nova de Gaia,225,Mennekes,2024,9
306,11A,Área Metropolitana do Porto,314,CHAdeMO,2024,9
307,11A0104,Arouca,1,CHAdeMO,2024,9
308,11A0107,Espinho,4,CHAdeMO,2024,9
309,11A1304,Gondomar,15,CHAdeMO,2024,9
310,11A1306,Maia,18,CHAdeMO,2024,9
311,11A1308,Matosinhos,40,CHAdeMO,2024,9
312,11A0113,Oliveira de Azeméis,4,CHAdeMO,2024,9
313,11A1310,Paredes,12,CHAdeMO,2024,9
314,11A1312,Porto,69,CHAdeMO,2024,9
315,11A1313,Póvoa de Varzim,12,CHAdeMO,2024,9
316,11A0109,Santa Maria da Feira,19,CHAdeMO,2024,9
317,11A1314,Santo Tirso,15,CHAdeMO,2024,9
318,11A0116,São João da Madeira,5,CHAdeMO,2024,9
319,11A1318,Trofa,8,CHAdeMO,2024,9
320,11A0119,Vale de Cambra,4,CHAdeMO,2024,9
321,11A1315,Valongo,20,CHAdeMO,2024,9
322,11A1316,Vila do Conde,10,CHAdeMO,2024,9
323,11A1317,Vila Nova de Gaia,58,CHAdeMO,2024,9
324,11A,Área Metropolitana do Porto,442,CCS,2024,9
325,11A0104,Arouca,1,CCS,2024,9
326,11A0107,Espinho,4,CCS,2024,9
327,11A1304,Gondomar,25,CCS,2024,9
328,11A1306,Maia,27,CCS,2024,9
329,11A1308,Matosinhos,69,CCS,2024,9
330,11A0113,Oliveira de Azeméis,5,CCS,2024,9
331,11A1310,Paredes,13,CCS,2024,9
332,11A1312,Porto,82,CCS,2024,9
333,11A1313,Póvoa de Varzim,23,CCS,2024,9
334,11A0109,Santa Maria da Feira,33,CCS,2024,9
335,11A1314,Santo Tirso,17,CCS,2024,9
336,11A0116,São João da Madeira,7,CCS,2024,9
337,11A1318,Trofa,10,CCS,2024,9
338,11A0119,Vale de Cambra,3,CCS,2024,9
339,11A1315,Valongo,29,CCS,2024,9
340,11A1316,Vila do Conde,20,CCS,2024,9
341,11A1317,Vila Nova de Gaia,74,CCS,2024,9
342,11A,Área Metropolitana do Porto,,Industrial,2024,9
343,11A0104,Arouca,,Industrial,2024,9
