,Installation Code,District,Municipality,Geographic Coordinates,Installed Power [kVA],Usage Level [%],Construction Type,Contracted Power [kVA],Number of Clients,Power Generation [kW],Number of Client Producers,Usage Histogram,DistrictCode,DistrictMunicipalityCode
67194,0116D2012400,Aveiro,São João da Madeira,"40.89818353915999, -8.4777350422347",250,0%-19%,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65.5;1022.75;5697.25;1526.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,116
67221,1304D2034400,Porto,Gondomar,"41.16108043638118, -8.555832619743425",630,0%-19%,Cabine baixa integrada em edifício,686.35,112,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7315.25;1001.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1304
67222,1304D2030400,Porto,Gondomar,"41.17247407972908, -8.565960569290347",630,0%-19%,Cabine baixa em edifício próprio,921.15,162,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5361.5;2952.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1304
67223,1312D2058100,Porto,Porto,"41.17347427654034, -8.653371502046044",1260,20%-39%,Cabine subterrânea,1749.66,178,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2821.0;2321.75;478.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
67224,1312D2091700,Porto,Porto,"41.17530184236728, -8.613846677403307",400,20%-39%,Cabine baixa em edifício próprio,702.65,78,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2063.5;5041.0;1209.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
67225,1312D2087400,Porto,Porto,"41.155337383330526, -8.629500172378334",1260,0%-19%,Cabine baixa em edifício próprio,788.10,52,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6715.5;1596.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
67254,0119D2014600,Aveiro,Vale de Cambra,"40.83118342676557, -8.407221291547245",160,0%-19%,Aéreo - AI,203.47,43,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5411.5;2898.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,119
67256,1318D2002800,Porto,Trofa,"41.33234145871418, -8.543139408480648",400,20%-39%,Cabine baixa em edifício próprio,1669.39,206,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.5;4148.5;3089.5;1031.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1318
67257,1318D2012800,Porto,Trofa,"41.34269533925003, -8.56423588171723",630,0%-19%,Cabine baixa em edifício próprio,823.40,129,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6331.25;1978.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1318
67258,1318D2009600,Porto,Trofa,"41.34147854615385, -8.556742731097499",400,0%-19%,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4938.75;3370.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1318
67266,1308D2011000,Porto,Matosinhos,"41.19926582559342, -8.654887672349142",300,20%-39%,Cabine alta,792.95,145,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.25;3193.0;4057.75;1055.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
67267,1308D2011800,Porto,Matosinhos,"41.19521966677466, -8.695810086408038",400,20%-39%,Cabine baixa integrada em edifício,1030.04,154,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.75;4584.25;3586.5;77.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
67273,1306D2073400,Porto,Maia,"41.235262395542534, -8.579069491744717",400,0%-19%,Cabine baixa em edifício próprio,342.70,58,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8323.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1306
67274,1306D2072300,Porto,Maia,"41.23971289497894, -8.649023884947313",630,0%-19%,Cabine baixa em edifício próprio,775.70,109,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3040.5;5270.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1306
67275,1317D2033700,Porto,Vila Nova de Gaia,"41.10661764948297, -8.596467223369885",1260,20%-39%,Cabine baixa integrada em edifício,2256.08,352,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3543.75;4608.75;161.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
67276,1317D2043600,Porto,Vila Nova de Gaia,"41.12548132928531, -8.600893800183597",630,40%-59%,Cabine baixa em edifício próprio,2388.23,364,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.5;2454.25;2638.0;2728.25;467.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
67277,1317D2079000,Porto,Vila Nova de Gaia,"41.12969602621703, -8.608717313269596",2060,0%-19%,Cabine baixa em edifício próprio,1773.67,242,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7831.5;479.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
67280,1310D2010600,Porto,Paredes,"41.13972012240315, -8.395765693619486",250,20%-39%,Cabine alta,767.38,137,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3894.25;2914.75;1070.25;360.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1310
67317,1315D2016600,Porto,Valongo,"41.20880827065441, -8.5563722452707",500,20%-39%,Cabine baixa em edifício próprio,1025.45,174,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2599.0;5133.75;582.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1315
67344,1314D2018300,Porto,Santo Tirso,"41.36173789237844, -8.375562794438267",160,40%-59%,Cabine alta,782.00,124,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.25;1699.5;3650.75;1890.75;785.75;285.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1314
67345,1314D2009100,Porto,Santo Tirso,"41.262555185782176, -8.493275012966352",250,20%-39%,Aéreo - AI,955.75,109,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2167.0;5265.0;888.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1314
