,Installation Code,District,Municipality,Geographic Coordinates,Installed Power [kVA],Usage Level [%],Construction Type,Contracted Power [kVA],Number of Clients,Power Generation [kW],Number of Client Producers,Usage Histogram,DistrictCode,DistrictMunicipalityCode
28,1312D2103700,Porto,Porto,"41.183677856847204, -8.608945507725844",630,0%-19%,Cabine metálica (monobloco),1317.35,201,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5359.75;2949.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
35,1316D2004400,Porto,Vila do Conde,"41.336527228320506, -8.645671024999814",400,20%-39%,Cabine alta,1610.01,216,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.25;2134.75;4833.0;1339.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1316
36,1316D2016800,Porto,Vila do Conde,"41.27164654205575, -8.724611320666718",630,20%-39%,Cabine baixa em edifício próprio,2047.95,336,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.75;4024.75;3997.75;282.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1316
37,1316D2057000,Porto,Vila do Conde,"41.279717670991126, -8.679046573660683",400,0%-19%,Cabine pré-fabricada,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;8290.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1316
39,1317D2070300,Porto,Vila Nova de Gaia,"41.04344892828184, -8.542996018121055",250,20%-39%,Cabine baixa em edifício próprio,640.00,71,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;575.5;5206.25;2448.5;80.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
40,1317D2051700,Porto,Vila Nova de Gaia,"41.11455052390216, -8.61403627288223",630,0%-19%,Cabine baixa em edifício próprio,1178.46,188,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4516.25;3797.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
41,1317D2033500,Porto,Vila Nova de Gaia,"41.13972799931655, -8.636187844159922",630,0%-19%,Cabine baixa em edifício próprio,592.77,91,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8316.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
64,1308D2023400,Porto,Matosinhos,"41.25329240728268, -8.721106859919177",400,60%-79%,Cabine alta,2580.12,373,43.82,23,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;53.75;3144.5;2937.75;1339.75;643.25;173.5;0.0;0.0;0.0;0.0;0.0),13,1308
65,1308D2071200,Porto,Matosinhos,"41.20898585173012, -8.687992786282576",1890,20%-39%,Cabine baixa integrada em edifício,4095.66,185,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3132.25;634.25;1880.5;2662.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
66,1308D2009700,Porto,Matosinhos,"41.196189239991355, -8.704738220997905",400,20%-39%,Cabine alta,1140.09,150,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.25;4125.5;3041.0;1100.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
67,1308D2071400,Porto,Matosinhos,"41.20475494552564, -8.638166055432931",630,20%-39%,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3389.75;3387.5;599.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
68,1308D2031700,Porto,Matosinhos,"41.188258623507764, -8.65363646481662",630,20%-39%,Cabine baixa integrada em edifício,1512.00,214,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2498.0;5164.0;652.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
69,0113D2034700,Aveiro,Oliveira de Azeméis,"40.91922421691709, -8.447265927349918",250,20%-39%,Aéreo - AI,503.13,44,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.25;6167.25;1747.25;410.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,113
72,1306D2045400,Porto,Maia,"41.264495302625875, -8.61435505604584",400,0%-19%,Cabine baixa em edifício próprio,433.74,58,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3826.5;4489.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1306
85,1314D2004500,Porto,Santo Tirso,"41.29065393220008, -8.475044477420848",200,20%-39%,Cabine alta,607.20,81,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;377.0;4877.25;2486.75;568.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1314
108,1313D2014600,Porto,Póvoa de Varzim,"41.46263419735922, -8.772157353224225",250,20%-39%,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6833.0;760.75;402.5;316.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1313
138,1310D2021600,Porto,Paredes,"41.202278914678445, -8.322236509103233",250,20%-39%,Cabine baixa em edifício próprio,648.61,90,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2991.75;5045.5;276.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1310
152,0119D2004500,Aveiro,Vale de Cambra,"40.79410055181482, -8.424088659891588",100,0%-19%,Aéreo - AS,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7123.5;1217.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,119
153,0119D2015400,Aveiro,Vale de Cambra,"40.86550068606808, -8.39587720145391",160,20%-39%,Aéreo - AI,289.67,22,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.75;4472.75;2078.5;1144.75;611.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,119
164,1318D2013700,Porto,Trofa,"41.312730741465444, -8.60334265737139",315,20%-39%,Cabine alta,646.16,80,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2219.25;4691.5;1401.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1318
177,1308D2004400,Porto,Matosinhos,"41.18958267957249, -8.603124842872626",630,20%-39%,Cabine alta,1559.96,274,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1504.75;5438.0;1369.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
201,1317D2144400,Porto,Vila Nova de Gaia,"41.13103643343733, -8.607717335695863",630,0%-19%,Cabine baixa integrada em edifício,420.92,48,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8317.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
202,1317D2122500,Porto,Vila Nova de Gaia,"41.05066263863398, -8.643002327418353",630,0%-19%,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7573.5;740.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
203,1317D2068800,Porto,Vila Nova de Gaia,"41.13669381369458, -8.626750830587907",630,0%-19%,Cabine baixa integrada em edifício,308.21,32,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8312.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
209,0109D2019100,Aveiro,Santa Maria da Feira,"40.98599138095623, -8.523702187265322",400,40%-59%,Cabine alta,1932.84,300,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;2308.0;3022.25;1902.5;935.0;144.0;0.0;0.0;0.0;0.0;0.0;0.0),1,109
210,0109D2048400,Aveiro,Santa Maria da Feira,"40.97211085862614, -8.542937285729078",160,60%-79%,Cabine pré-fabricada,850.81,140,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;826.75;1922.75;2062.25;1386.5;895.0;385.5;0.0;0.0;0.0;0.0;0.0),1,109
211,1312D2074900,Porto,Porto,"41.16109055212125, -8.59583515391344",400,20%-39%,Cabine baixa em edifício próprio,582.39,60,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;483.0;5141.0;2385.75;302.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
212,1312D2129200,Porto,Porto,"41.14895879360282, -8.661137533535136",630,0%-19%,Cabine baixa em edifício próprio,920.01,100,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3501.5;4814.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
213,1312D2076200,Porto,Porto,"41.166517315606754, -8.612001296274379",400,0%-19%,Cabine baixa em edifício próprio,663.93,101,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3720.25;4595.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
214,1312D2033100,Porto,Porto,"41.15283499392463, -8.648468552490893",630,0%-19%,Cabine baixa em edifício próprio,959.11,151,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6576.25;1738.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
215,1316D2028800,Porto,Vila do Conde,"41.36559232821599, -8.74351967184105",250,20%-39%,Cabine baixa em edifício próprio,675.07,104,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.5;4119.5;2976.5;1186.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1316
249,1310D2006900,Porto,Paredes,"41.19191565089755, -8.44945720460405",250,20%-39%,Cabine alta,685.65,79,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1138.25;4881.75;2295.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1310
261,0116D2010100,Aveiro,São João da Madeira,"40.903713118373645, -8.491133172595491",630,0%-19%,Cabine baixa integrada em edifício,573.86,72,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7032.5;1283.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,116
271,1313D2026100,Porto,Póvoa de Varzim,"41.46320347873598, -8.753158226578346",100,0%-19%,Aéreo - AI,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8328.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1313
279,1314D2030000,Porto,Santo Tirso,"41.36198592696512, -8.4118519623508",250,20%-39%,Aéreo - AI,297.85,47,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4711.0;3181.5;413.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1314
280,1314D2024900,Porto,Santo Tirso,"41.33589247214427, -8.476119451859423",400,20%-39%,Cabine baixa integrada em edifício,215.05,25,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3683.25;4257.75;370.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1314
295,0107D2007800,Aveiro,Espinho,"41.01026449398, -8.63909581199975",630,0%-19%,Cabine baixa integrada em edifício,960.98,152,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6321.5;1990.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,107
318,1315D2028900,Porto,Valongo,"41.207786043170934, -8.497841439380755",250,0%-19%,Cabine baixa em edifício próprio,409.18,79,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4635.25;3687.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1315
321,0104D2000500,Aveiro,Arouca,"40.93510506126996, -8.31544251469631",100,20%-39%,Cabine alta,508.73,92,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;90.0;4496.0;3108.5;642.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,104
343,0109D2041200,Aveiro,Santa Maria da Feira,"41.002079423422956, -8.51835638821839",250,20%-39%,Aéreo - AI,625.60,84,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1563.0;4905.5;1652.75;193.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,109
344,0109D2051600,Aveiro,Santa Maria da Feira,"40.8928003360431, -8.543041153402493",160,20%-39%,Aéreo - AI,287.81,42,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3964.5;3964.75;385.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,109
345,0109D2028000,Aveiro,Santa Maria da Feira,"40.8846954685078, -8.544130525065551",250,40%-59%,Cabine alta,1394.07,175,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;1952.0;2746.75;2146.5;628.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,109
346,0109D2063200,Aveiro,Santa Maria da Feira,"40.94557633124136, -8.502817467064895",250,0%-19%,Cabine pré-fabricada,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7999.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,109
347,0109D2026000,Aveiro,Santa Maria da Feira,"41.01349744191557, -8.482406162095508",400,0%-19%,Cabine alta,358.92,49,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7523.25;788.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,109
364,1306D2032000,Porto,Maia,"41.23063981557477, -8.625645932544062",400,0%-19%,Cabine baixa em edifício próprio,640.56,69,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.25;5175.25;3133.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1306
375,1312D2082800,Porto,Porto,"41.16261645517739, -8.598671729317989",630,0%-19%,Cabine baixa em edifício próprio,1150.56,142,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4258.25;4053.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
376,1312D2117800,Porto,Porto,"41.151979603899655, -8.59948284028363",630,0%-19%,Cabine baixa integrada em edifício,917.72,125,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5666.25;2645.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
377,1312D2066800,Porto,Porto,"41.1519819676649, -8.67206710134798",630,20%-39%,Cabine subterrânea,1641.00,154,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3618.5;4434.5;258.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
389,1317D2083900,Porto,Vila Nova de Gaia,"41.14022454618342, -8.637203184579691",1890,0%-19%,Cabine baixa integrada em edifício,829.18,54,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6116.75;2193.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
390,1317D2067200,Porto,Vila Nova de Gaia,"41.12351590639525, -8.666096636890526",400,40%-59%,Cabine baixa integrada em edifício,1395.96,149,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;318.75;4251.0;3144.5;600.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
391,1317D2041000,Porto,Vila Nova de Gaia,"41.05836584184978, -8.654202744824444",630,20%-39%,Cabine baixa em edifício próprio,1500.85,163,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5;3851.25;3477.75;977.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
423,1308D2067200,Porto,Matosinhos,"41.20619579905423, -8.691285866135896",630,0%-19%,Cabine pré-fabricada,1312.75,216,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4376.25;3934.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
424,1308D2035900,Porto,Matosinhos,"41.19351806143108, -8.657029941692718",630,20%-39%,Cabine baixa em edifício próprio,1385.45,204,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1194.75;3920.75;2816.75;367.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
425,1308D2026200,Porto,Matosinhos,"41.209442688843986, -8.61295062477008",315,20%-39%,Cabine alta,722.18,109,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2456.0;5509.25;347.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
428,1315D2022400,Porto,Valongo,"41.237203210727515, -8.53749817136812",400,0%-19%,Cabine metálica (monobloco),538.03,80,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6017.25;2299.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1315
429,1315D2038600,Porto,Valongo,"41.20278265430407, -8.512012104550704",630,N/D,Cabine baixa em edifício próprio,1140.80,181,N/D,<20,,13,1315
432,1314D2035500,Porto,Santo Tirso,"41.34219937942218, -8.48668807932269",1030,0%-19%,Cabine baixa em edifício próprio,544.96,54,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8317.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1314
437,1318D2024000,Porto,Trofa,"41.33695001628058, -8.52291671993281",1260,N/D,Cabine pré-fabricada,N/D,<20,N/D,<20,,13,1318
468,0113D2024800,Aveiro,Oliveira de Azeméis,"40.851210290553, -8.473658377704407",100,20%-39%,Aéreo - AS,162.46,23,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4252.0;3901.0;165.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,113
504,0119D2009700,Aveiro,Vale de Cambra,"40.78266066169052, -8.280267385434776",250,0%-19%,Aéreo - AI,270.37,51,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6811.0;1516.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,119
515,1312D2144600,Porto,Porto,"41.17443614974472, -8.605003047344946",400,N/D,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,,13,1312
516,1312D2093900,Porto,Porto,"41.166896859785794, -8.672217974650048",630,0%-19%,Cabine baixa em edifício próprio,1080.26,103,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5249.75;3047.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
517,1312D2063200,Porto,Porto,"41.15718875832456, -8.628118514116556",2520,0%-19%,Cabine baixa integrada em edifício,1711.74,171,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7735.0;575.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
525,1317D2069000,Porto,Vila Nova de Gaia,"41.09896165411915, -8.628577858765627",630,20%-39%,Cabine baixa integrada em edifício,1982.43,257,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.5;3522.25;3887.75;871.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
526,1317D2111800,Porto,Vila Nova de Gaia,"41.102154714462074, -8.588840759890212",1260,0%-19%,Cabine baixa integrada em edifício,920.30,167,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7051.75;1263.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
527,1317D2078000,Porto,Vila Nova de Gaia,"41.03379276979447, -8.6447134935277",630,0%-19%,Cabine baixa em edifício próprio,502.33,63,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8314.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
528,1317D2100900,Porto,Vila Nova de Gaia,"41.12147492881915, -8.60534369261967",630,0%-19%,Cabine baixa integrada em edifício,796.13,104,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5087.75;3230.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
563,1308D2052700,Porto,Matosinhos,"41.196746513696084, -8.640666036187078",400,0%-19%,Cabine baixa em edifício próprio,454.87,64,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8319.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
564,1308D2027000,Porto,Matosinhos,"41.21244806809541, -8.618264183473414",150,40%-59%,Cabine alta,673.92,69,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;189.75;2146.0;3936.5;1603.5;435.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1308
566,1306D2016300,Porto,Maia,"41.205607409624236, -8.599765632543873",500,N/D,Cabine alta,1298.81,163,N/D,<20,,13,1306
579,1310D2020800,Porto,Paredes,"41.20664600621126, -8.331972019929788",400,40%-59%,Cabine baixa integrada em edifício,1170.40,158,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;234.5;3956.25;2774.5;1155.25;193.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1310
580,1314D2052600,Porto,Santo Tirso,"41.36481583425908, -8.35839775696031",400,40%-59%,Cabine pré-fabricada,700.04,60,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;42.25;195.5;333.5;417.75;2842.25;2675.0;840.0;510.5;453.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1314
581,1314D2021500,Porto,Santo Tirso,"41.346081817612095, -8.429748831806432",160,20%-39%,Cabine alta,263.01,45,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4381.25;3810.25;128.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1314
615,1304D2018400,Porto,Gondomar,"41.080842523835095, -8.478728218062717",160,20%-39%,Cabine alta,521.76,63,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2284.0;5278.25;752.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1304
616,1304D2056100,Porto,Gondomar,"41.17497716849529, -8.551531664151511",400,0%-19%,Cabine baixa em edifício próprio,512.29,79,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8334.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1304
617,1304D2055200,Porto,Gondomar,"41.18097679165854, -8.56407894574357",400,0%-19%,Cabine baixa integrada em edifício,339.26,49,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;8325.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1304
618,1304D2003700,Porto,Gondomar,"41.07545076604467, -8.423178717424873",200,40%-59%,Cabine alta,845.90,118,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.75;2035.0;3442.75;1746.0;858.5;168.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1304
619,1304D2065900,Porto,Gondomar,"41.14782686429686, -8.519984764265875",250,0%-19%,Cabine metálica (monobloco),N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;586.75;6681.75;1055.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1304
633,0119D2000800,Aveiro,Vale de Cambra,"40.88630872659317, -8.360756229165654",250,20%-39%,Cabine alta,714.15,114,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;186.0;5645.0;2328.5;156.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,119
636,0104D2024000,Aveiro,Arouca,"40.92271713824312, -8.269015814616926",160,0%-19%,Aéreo - AI,214.67,32,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6434.75;899.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),1,104
640,1315D2035900,Porto,Valongo,"41.224526680566186, -8.526713464566766",630,0%-19%,Cabine baixa em edifício próprio,299.68,62,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8323.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1315
675,1312D2055200,Porto,Porto,"41.148094158462655, -8.61288632552907",1260,20%-39%,Cabine subterrânea,1289.44,96,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.25;4507.75;3737.5;9.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
676,1312D2079300,Porto,Porto,"41.16357558463523, -8.665600242880142",1260,20%-39%,Cabine baixa em edifício próprio,3296.41,278,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2334.75;4449.5;1527.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1312
677,1312D2016400,Porto,Porto,"41.16144722878588, -8.670652268882625",630,N/D,Cabine subterrânea,938.40,88,N/D,<20,,13,1312
698,1317D2069800,Porto,Vila Nova de Gaia,"41.09576999117252, -8.604128339808348",630,0%-19%,Cabine baixa em edifício próprio,N/D,<20,N/D,<20,(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7349.0;963.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0),13,1317
