Installation Code;District;Municipality;Geographic Coordinates;Installed Power [kVA];Usage Level [%];Construction Type;Contracted Power [kVA];Number of Clients;Power Generation [kW];Number of Client Producers;Usage Histogram;DistrictCode;DistrictMunicipalityCode
1312D2103900;Porto;Porto;41.184661068499786, -8.609953901947133;400;N/D;Cabine baixa em edifício próprio;662.19;129;N/D;<20;;13;1312
1312D2047400;Porto;Porto;41.14868040902462, -8.60395239332418;630;20%-39%;Cabine baixa integrada em edifício;625.60;102;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1749.5;6157.0;408.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2062900;Porto;Porto;41.17765756325151, -8.64326939322383;630;20%-39%;Cabine baixa integrada em edifício;1113.29;199;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3727.75;4360.75;225.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2096800;Porto;Porto;41.152700945574985, -8.593289664792632;400;0%-19%;Cabine baixa integrada em edifício;545.11;94;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7774.25;550.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2009700;Porto;Porto;41.158644660502674, -8.665671549088048;630;20%-39%;Cabine baixa em edifício próprio;1131.60;77;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;104.25;5092.75;2859.25;255.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2023200;Porto;Porto;41.15374448465577, -8.588586104909876;1000;0%-19%;Cabine baixa integrada em edifício;500.52;45;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;274.0;8041.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2022300;Porto;Porto;41.14839391648037, -8.600044439201794;630;20%-39%;Cabine baixa integrada em edifício;1051.90;130;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1959.25;4346.0;2010.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2075700;Porto;Porto;41.15743181711832, -8.593182152070591;400;20%-39%;Cabine baixa em edifício próprio;737.91;103;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3236.5;4970.0;105.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2103600;Porto;Porto;41.16718430659271, -8.652631997108825;630;0%-19%;Cabine baixa em edifício próprio;892.40;91;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8257.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2047900;Porto;Porto;41.15422590969332, -8.609893381498761;630;0%-19%;Cabine subterrânea;314.09;32;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8328.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2003200;Porto;Porto;41.16313491467066, -8.634441300215675;1260;20%-39%;Cabine baixa integrada em edifício;3309.10;470;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2934.75;4978.75;167.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2052900;Porto;Porto;41.171264200258236, -8.594607722621339;630;0%-19%;Cabine subterrânea;747.50;100;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4479.0;3834.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2070300;Porto;Porto;41.18123331058469, -8.613093951823018;400;20%-39%;Cabine baixa integrada em edifício;870.56;133;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;525.0;3625.25;3159.25;1004.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2086500;Porto;Porto;41.17037434433302, -8.626983095857666;630;0%-19%;Cabine baixa integrada em edifício;1174.65;144;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3765.5;4546.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2106200;Porto;Porto;41.17418894708384, -8.64216759799869;630;0%-19%;Cabine pré-fabricada;274.03;59;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7376.25;831.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2117500;Porto;Porto;41.174564891220975, -8.586898611897587;630;0%-19%;Cabine pré-fabricada;701.12;101;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8206.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2067700;Porto;Porto;41.159966732614464, -8.630713744222353;400;40%-59%;Cabine subterrânea;1326.01;190;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;144.0;2574.5;3276.0;1802.25;515.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2118900;Porto;Porto;41.165145584560804, -8.641482054012352;630;0%-19%;Cabine baixa integrada em edifício;1094.50;155;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2868.25;5444.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2073700;Porto;Porto;41.15733393192883, -8.652996307597032;630;20%-39%;Cabine baixa em edifício próprio;1761.75;248;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;431.0;4118.5;3005.25;754.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2014300;Porto;Porto;41.16054782830913, -8.592076255533355;1260;20%-39%;Cabine subterrânea;2220.70;290;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1455.75;4731.75;2125.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2000400;Porto;Porto;41.14624179015766, -8.606848531293595;1890;N/D;Cabine baixa em edifício próprio;1698.68;198;N/D;<20;;13;1312
1312D2031600;Porto;Porto;41.1727088595302, -8.590875945471836;630;0%-19%;Cabine subterrânea;924.35;122;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5034.25;3279.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2041700;Porto;Porto;41.14618402375169, -8.584254060875034;630;0%-19%;Cabine subterrânea;887.02;155;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4927.0;3383.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2048100;Porto;Porto;41.161820207070356, -8.592345988041615;630;20%-39%;Cabine subterrânea;847.80;89;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3327.0;4580.25;405.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2107000;Porto;Porto;41.15674416929899, -8.573430262549019;630;0%-19%;Cabine baixa integrada em edifício;957.70;196;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5797.0;2516.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2031200;Porto;Porto;41.16154983936959, -8.60114179186326;630;20%-39%;Cabine subterrânea;1161.10;136;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.0;5118.75;2996.5;126.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2103500;Porto;Porto;41.1675643216178, -8.651632169602662;630;0%-19%;Cabine baixa integrada em edifício;965.75;109;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3286.0;4945.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2052300;Porto;Porto;41.163109450200416, -8.61277776457864;630;20%-39%;Cabine subterrânea;1559.40;216;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2113.5;5269.5;932.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2043300;Porto;Porto;41.16331716484174, -8.647057335432402;630;0%-19%;Cabine subterrânea;259.91;23;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7556.0;754.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2082900;Porto;Porto;41.178725992419395, -8.620855728279986;1260;0%-19%;Cabine baixa em edifício próprio;1736.31;230;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3479.5;4792.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2009900;Porto;Porto;41.15962608408811, -8.624577972395912;630;40%-59%;Cabine baixa em edifício próprio;1802.46;234;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.75;2847.5;3628.0;1692.75;104.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2128500;Porto;Porto;41.165274756589, -8.665708027540276;400;0%-19%;Cabine baixa em edifício próprio;N/D;<20;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8359.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2076100;Porto;Porto;41.16714505713995, -8.613755099398421;400;20%-39%;Cabine baixa em edifício próprio;642.85;134;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2260.25;4942.25;1111.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2022900;Porto;Porto;41.15595789914133, -8.604392563139902;400;40%-59%;Cabine baixa integrada em edifício;1728.11;227;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;463.75;1851.25;2751.75;2582.25;665.25;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2073000;Porto;Porto;41.1714380561819, -8.663158191269998;400;20%-39%;Cabine baixa em edifício próprio;1073.45;137;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2466.0;4835.0;1012.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2086800;Porto;Porto;41.17872757123798, -8.63352319376785;1000;0%-19%;Cabine baixa integrada em edifício;1415.55;189;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4900.0;3412.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2127400;Porto;Porto;41.148478237406685, -8.644295569916393;630;20%-39%;Cabine baixa integrada em edifício;1357.77;90;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1669.75;5605.25;783.5;253.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2075300;Porto;Porto;41.15510667490504, -8.626133694565231;630;0%-19%;Cabine baixa em edifício próprio;729.10;110;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7638.5;674.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2024100;Porto;Porto;41.1530838961276, -8.58514836121896;400;0%-19%;Cabine baixa integrada em edifício;836.05;174;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5186.75;3124.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2016500;Porto;Porto;41.16770909767917, -8.609548578026125;630;20%-39%;Cabine baixa em edifício próprio;1239.70;223;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1396.75;4512.5;2163.25;239.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2129000;Porto;Porto;41.17168904998092, -8.620357410684548;630;0%-19%;Cabine baixa em edifício próprio;516.61;60;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7766.75;554.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2127500;Porto;Porto;41.17800526824821, -8.632522402985272;630;0%-19%;Cabine pré-fabricada;895.23;139;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8313.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2119200;Porto;Porto;41.159969637013084, -8.669915065163448;630;0%-19%;Cabine pré-fabricada;838.35;55;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8331.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2108400;Porto;Porto;41.168630203283385, -8.62058847099261;400;0%-19%;Cabine baixa integrada em edifício;543.39;79;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3712.25;4605.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2067100;Porto;Porto;41.15616204212124, -8.618108380149144;630;0%-19%;Cabine baixa integrada em edifício;1434.84;231;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2866.25;5443.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2114900;Porto;Porto;41.15661241167694, -8.617719772658718;400;20%-39%;Cabine baixa integrada em edifício;522.12;83;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3053.0;4721.25;500.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2029100;Porto;Porto;41.158381259898896, -8.638508208606961;630;20%-39%;Cabine subterrânea;1009.68;142;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2595.5;5005.25;711.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2087900;Porto;Porto;41.163007499119445, -8.5992404285197;1000;0%-19%;Cabine baixa em edifício próprio;530.15;48;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8120.0;191.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2001000;Porto;Porto;41.16095625398108, -8.643787992208614;630;20%-39%;Cabine baixa em edifício próprio;1813.57;216;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2423.0;5100.0;684.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2094600;Porto;Porto;41.16242153539709, -8.605918377252857;400;40%-59%;Cabine baixa integrada em edifício;1134.16;127;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;384.25;2717.75;3069.5;1802.75;337.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2006300;Porto;Porto;41.157469432091396, -8.599045532135406;1260;20%-39%;Cabine baixa em edifício próprio;2428.58;376;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2723.0;5099.0;490.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2084300;Porto;Porto;41.178121872790946, -8.628405081760441;400;0%-19%;Cabine baixa em edifício próprio;167.90;30;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8340.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2043500;Porto;Porto;41.14336626028086, -8.610856611763657;630;20%-39%;Cabine subterrânea;1948.03;241;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;2447.0;2187.5;3677.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2018900;Porto;Porto;41.16575653582253, -8.685535536281742;630;20%-39%;Cabine baixa em edifício próprio;1292.65;84;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;493.75;6347.5;1469.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2144000;Porto;Porto;41.14869207040729, -8.609189937893401;1260;0%-19%;Cabine baixa integrada em edifício;N/D;<20;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7838.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2123300;Porto;Porto;41.159342107215295, -8.632921203217224;630;0%-19%;Cabine baixa integrada em edifício;792.37;68;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5998.0;2316.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2081100;Porto;Porto;41.15745802710454, -8.630407381989922;1260;20%-39%;Cabine baixa integrada em edifício;1910.46;187;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2964.0;5221.75;125.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2039000;Porto;Porto;41.15523738000065, -8.62735074644429;1260;0%-19%;Cabine subterrânea;901.63;69;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6874.5;1437.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2052600;Porto;Porto;41.176667769659744, -8.632124431782291;630;20%-39%;Cabine baixa integrada em edifício;1787.08;262;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1877.25;5656.75;775.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2090800;Porto;Porto;41.151543572226316, -8.599947711115753;1260;0%-19%;Cabine baixa integrada em edifício;861.38;105;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8313.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2069200;Porto;Porto;41.157075140655124, -8.64576427396633;400;0%-19%;Cabine baixa em edifício próprio;541.01;86;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4787.0;3526.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2042300;Porto;Porto;41.14613564223385, -8.599194617656714;630;0%-19%;Cabine subterrânea;1098.00;134;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4118.5;3704.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2094500;Porto;Porto;41.16096128915515, -8.590487642516145;630;0%-19%;Cabine baixa integrada em edifício;825.33;120;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3056.25;5255.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2022000;Porto;Porto;41.14873922736173, -8.626592813429122;600;20%-39%;Cabine baixa em edifício próprio;479.40;78;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3450.0;4835.5;19.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2056700;Porto;Porto;41.16785860292517, -8.613334949947696;630;40%-59%;Cabine baixa em edifício próprio;1939.36;354;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.0;3263.25;3061.75;1618.25;337.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2025900;Porto;Porto;41.14435707867612, -8.59955746772983;630;40%-59%;Cabine subterrânea;2329.80;394;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.5;2679.25;3765.0;1707.5;122.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2125300;Porto;Porto;41.15324222286841, -8.62209049321929;630;0%-19%;Cabine baixa integrada em edifício;705.38;103;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8267.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2129300;Porto;Porto;41.16164293646658, -8.656115296308304;630;20%-39%;Cabine baixa em edifício próprio;1382.07;127;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.0;4755.0;2667.5;464.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2070700;Porto;Porto;41.1480105383003, -8.607562206420132;1890;20%-39%;Cabine baixa integrada em edifício;1808.52;119;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1840.5;3954.0;2514.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2124400;Porto;Porto;41.15752473295804, -8.62391801568611;1890;0%-19%;Cabine baixa integrada em edifício;1519.74;157;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7826.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2044600;Porto;Porto;41.16033522040788, -8.636286658121445;630;20%-39%;Cabine subterrânea;871.70;148;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5078.75;3223.75;10.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2044500;Porto;Porto;41.1544223826666, -8.63105427627696;630;0%-19%;Cabine subterrânea;735.41;75;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4005.0;4308.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2090100;Porto;Porto;41.15089866371657, -8.628766913579067;1260;0%-19%;Cabine baixa integrada em edifício;922.57;51;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6607.75;1704.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2036500;Porto;Porto;41.148750673624676, -8.649170791973685;630;0%-19%;Cabine subterrânea;973.06;144;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2494.5;3508.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2021100;Porto;Porto;41.17535690919199, -8.616166120298303;800;20%-39%;Cabine subterrânea;1772.34;373;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1121.75;4995.0;2159.5;35.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2037400;Porto;Porto;41.171123992987745, -8.611451682768795;630;20%-39%;Cabine subterrânea;1674.40;246;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;728.75;4455.75;2665.25;461.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2128000;Porto;Porto;41.16704085103818, -8.631937427762564;400;0%-19%;Cabine baixa integrada em edifício;518.82;73;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8315.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2021200;Porto;Porto;41.1692726497652, -8.625338414948883;630;0%-19%;Cabine baixa em edifício próprio;450.80;62;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8316.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2032900;Porto;Porto;41.14307310506478, -8.596052861969325;630;40%-59%;Cabine baixa em edifício próprio;1965.36;348;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;405.0;3029.75;3289.25;1453.25;133.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2040600;Porto;Porto;41.168464154362454, -8.627509960189995;630;0%-19%;Cabine subterrânea;887.85;147;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4521.0;3796.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2052700;Porto;Porto;41.16620345348588, -8.600764755691387;630;20%-39%;Cabine subterrânea;1373.64;193;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2117.0;4864.5;1330.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2041300;Porto;Porto;41.1702523957914, -8.616980366280066;1260;20%-39%;Cabine baixa em edifício próprio;2305.24;330;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3472.75;4701.25;134.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2080500;Porto;Porto;41.153808322235314, -8.649137954877578;630;20%-39%;Cabine baixa em edifício próprio;1949.77;233;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;1932.0;4362.25;2019.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2021900;Porto;Porto;41.14825099447524, -8.661378134675788;630;20%-39%;Cabine baixa em edifício próprio;1977.49;241;54.51;38;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3445.75;3610.5;1104.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2125500;Porto;Porto;41.16357321410619, -8.585701807242339;1260;0%-19%;Cabine baixa integrada em edifício;1308.98;125;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6950.75;1363.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
