Installation Code;District;Municipality;Geographic Coordinates;Installed Power [kVA];Usage Level [%];Construction Type;Contracted Power [kVA];Number of Clients;Power Generation [kW];Number of Client Producers;Usage Histogram;DistrictCode;DistrictMunicipalityCode
1312D2112800;Porto;Porto;41.16952482148182, -8.60563732183463;630;0%-19%;Cabine baixa integrada em edifício;676.61;116;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8160.25;151.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2088700;Porto;Porto;41.15571951625255, -8.64399921473992;630;0%-19%;Cabine pré-fabricada;1347.80;189;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4029.25;4285.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2067600;Porto;Porto;41.16271820007475, -8.619622066196987;400;20%-39%;Cabine baixa em edifício próprio;1779.06;261;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;919.5;3393.5;3006.25;992.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2063700;Porto;Porto;41.16431969303767, -8.685735225291788;630;20%-39%;Cabine baixa em edifício próprio;997.20;68;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2443.5;4340.25;1532.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2033300;Porto;Porto;41.179597634488765, -8.643330533847255;400;20%-39%;Cabine baixa em edifício próprio;1133.94;188;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;605.75;5769.5;1752.25;81.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2089400;Porto;Porto;41.15418137890564, -8.609586516596067;630;0%-19%;Cabine subterrânea;342.45;22;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5157.25;3157.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2005000;Porto;Porto;41.16330108312309, -8.68470566424668;630;40%-59%;Cabine baixa em edifício próprio;2839.72;261;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;986.75;3395.75;2064.25;1337.25;376.25;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2061200;Porto;Porto;41.15937503180426, -8.637027755097856;1260;0%-19%;Cabine subterrânea;1265.85;112;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4359.75;3952.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2094000;Porto;Porto;41.166800702977554, -8.6507208330569;630;0%-19%;Cabine baixa em edifício próprio;734.85;79;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5328.25;2985.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2058400;Porto;Porto;41.16413095657698, -8.623087082643837;630;20%-39%;Cabine subterrânea;2342.58;282;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1280.5;4088.75;2640.25;302.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2040500;Porto;Porto;41.15856932986422, -8.64133413090153;630;0%-19%;Cabine subterrânea;1286.50;132;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6429.75;1885.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2104500;Porto;Porto;41.154152263480285, -8.607129795228863;400;0%-19%;Cabine baixa integrada em edifício;272.28;37;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8208.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2049900;Porto;Porto;41.153829522802276, -8.64122799961239;400;0%-19%;Cabine subterrânea;423.20;33;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8088.0;224.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2045000;Porto;Porto;41.15098521596331, -8.663301298282565;630;20%-39%;Cabine subterrânea;1329.71;203;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1891.75;4797.5;1623.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2012900;Porto;Porto;41.1461595745714, -8.612269913627367;630;20%-39%;Cabine baixa integrada em edifício;1777.44;174;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1035.0;4419.0;2858.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2085700;Porto;Porto;41.16707603354078, -8.630791471264425;630;0%-19%;Cabine baixa em edifício próprio;1484.24;268;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4253.5;4057.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
1312D2054100;Porto;Porto;41.15272472977274, -8.674303761211014;630;20%-39%;Cabine subterrânea;2274.73;251;N/D;<20;"(0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;511.0;3278.0;3306.0;1216.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0)";13;1312
