Quarter;District;Municipality;Parish;Maximum Admissible Power (kW);Connection points for electric vehicles charging stations;DistrictCode;DistrictMunicipalityCode;DistrictMunicipalityParishCode
2025T2;Porto;Matosinhos;São Mamede de Infesta e Senhora da Hora;135.0;1;13;1308;130814
2025T2;Porto;Trofa;Coronado (São Romão e São Mamede);630.0;1;13;1318;131811
2025T2;Porto;Paredes;Sobrosa;200.0;1;13;1310;131021
2025T2;Porto;Penafiel;Castelões;120.0;1;13;1311;131107
2025T3;Porto;Penafiel;Penafiel;132.0;1;13;1311;131139
2025T3;Porto;Baião;Santa Marinha do Zêzere;50.0;1;13;1302;130215
2025T3;Porto;Marco de Canaveses;Marco;160.0;1;13;1307;130736
2025T3;Porto;Vila do Conde;Azurara;400.0;1;13;1316;131604
2025T3;Porto;Póvoa de Varzim;AVer-o-Mar, Amorim e Terroso;27.6;1;13;1313;131313
2025T3;Porto;Póvoa de Varzim;AVer-o-Mar, Amorim e Terroso;200.0;1;13;1313;131313
2025T3;Porto;Santo Tirso;Agrela;10.35;1;13;1314;131401
2025T3;Porto;Porto;Ramalde;86.6;1;13;1312;131211
2025T3;Porto;Porto;Ramalde;1250.0;1;13;1312;131211
2025T3;Porto;Porto;Ramalde;49.5;1;13;1312;131211
2025T3;Porto;Porto;Bonfim;20.7;1;13;1312;131202
2025T3;Porto;Vila Nova de Gaia;Mafamude e Vilar do Paraíso;250.0;1;13;1317;131727
2025T3;Porto;Vila Nova de Gaia;Mafamude e Vilar do Paraíso;69.0;1;13;1317;131727
2025T3;Porto;Vila Nova de Gaia;Santa Marinha e São Pedro da Afurada;3650.0;1;13;1317;131730
2025T3;Porto;Vila Nova de Gaia;Madalena;27.6;1;13;1317;131709
2025T3;Porto;Baião;Ancede e Ribadouro;50.0;1;13;1302;130221
2025T3;Porto;Marco de Canaveses;Marco;250.0;1;13;1307;130736
2025T3;Porto;Porto;Lordelo do Ouro e Massarelos;1000.0;1;13;1312;131218
2025T3;Porto;Porto;Lordelo do Ouro e Massarelos;74.0;1;13;1312;131218
2025T3;Porto;Porto;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;600.0;1;13;1312;131217
2025T4;Porto;Porto;Paranhos;300.0;2;13;1312;131210
2025T3;Porto;Amarante;Amarante (São Gonçalo), Madalena, Cepelos e Gatão;44.0;1;13;1301;130142
2025T3;Porto;Paredes;Paredes;160.0;1;13;1310;131025
2025T3;Porto;Gondomar;Rio Tinto;630.0;1;13;1304;130408
2025T3;Porto;Matosinhos;Custóias, Leça do Balio e Guifões;110.0;1;13;1308;130811
2025T4;Porto;Matosinhos;São Mamede de Infesta e Senhora da Hora;135.0;1;13;1308;130814
2025T3;Porto;Matosinhos;Perafita, Lavra e Santa Cruz do Bispo;27.6;1;13;1308;130813
2025T3;Porto;Vila Nova de Gaia;Canelas;41.4;1;13;1317;131703
2025T3;Porto;Vila Nova de Gaia;Mafamude e Vilar do Paraíso;14400.0;1;13;1317;131727
2025T4;Porto;Vila Nova de Gaia;Vilar de Andorinho;199.0;1;13;1317;131723
2025T3;Porto;Paços de Ferreira;Meixomil;200.0;1;13;1309;130910
2025T3;Porto;Valongo;Valongo;41.4;1;13;1315;131505
2025T3;Porto;Valongo;Valongo;300.0;2;13;1315;131505
2025T3;Porto;Valongo;Campo e Sobrado;250.0;1;13;1315;131506
2025T3;Porto;Gondomar;Baguim do Monte (Rio Tinto);400.0;1;13;1304;130412
2025T3;Porto;Gondomar;Melres e Medas;6.9;1;13;1304;130416
2025T4;Porto;Vila do Conde;Mindelo;6.9;2;13;1316;131616
2025T3;Porto;Póvoa de Varzim;AVer-o-Mar, Amorim e Terroso;10.35;2;13;1313;131313
2025T4;Porto;Póvoa de Varzim;AVer-o-Mar, Amorim e Terroso;10.35;3;13;1313;131313
2025T3;Porto;Póvoa de Varzim;Laundos;1950.0;1;13;1313;131308
2025T3;Porto;Penafiel;Penafiel;250.0;1;13;1311;131139
2025T3;Porto;Penafiel;Penafiel;180.0;1;13;1311;131139
2025T3;Porto;Penafiel;Termas de São Vicente;120.0;1;13;1311;131143
2025T4;Porto;Póvoa de Varzim;Póvoa de Varzim, Beiriz e Argivai;20.7;5;13;1313;131315
2025T4;Porto;Vila Nova de Gaia;Mafamude e Vilar do Paraíso;20.7;8;13;1317;131727
2025T4;Porto;Vila Nova de Gaia;Santa Marinha e São Pedro da Afurada;630.0;3;13;1317;131730
2025T4;Porto;Vila Nova de Gaia;Grijó e Sermonde;17.25;1;13;1317;131725
2025T4;Porto;Valongo;Ermesinde;200.0;2;13;1315;131503
2025T4;Porto;Gondomar;Gondomar (São Cosme), Valbom e Jovim;17.25;2;13;1304;130415
2025T3;Porto;Lousada;Silvares, Pias, Nogueira e Alvarenga;250.0;1;13;1305;130532
2025T4;Porto;Vila Nova de Gaia;Avintes;100.0;1;13;1317;131702
2025T4;Porto;Vila Nova de Gaia;Gulpilhares e Valadares;20.7;5;13;1317;131726
2025T4;Porto;Vila Nova de Gaia;Oliveira do Douro;10.35;4;13;1317;131712
2025T4;Porto;Vila Nova de Gaia;Oliveira do Douro;630.0;1;13;1317;131712
2025T4;Porto;Porto;Ramalde;96.0;1;13;1312;131211
2025T4;Porto;Porto;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;88.0;1;13;1312;131217
2025T4;Porto;Porto;Aldoar, Foz do Douro e Nevogilde;50.0;2;13;1312;131216
2025T4;Porto;Porto;Campanhã;68.0;1;13;1312;131203
2025T4;Porto;Matosinhos;Matosinhos e Leça da Palmeira;472.5;2;13;1308;130812
2025T4;Porto;Matosinhos;Matosinhos e Leça da Palmeira;34.5;2;13;1308;130812
2025T4;Porto;Paços de Ferreira;Paços de Ferreira;250.0;1;13;1309;130918
2025T4;Porto;Santo Tirso;St. Tirso, Couto (S. Cristina e S. Miguel) e Burgães;41.4;7;13;1314;131437
2025T4;Porto;Gondomar;Rio Tinto;6.9;6;13;1304;130408
2025T4;Porto;Gondomar;Rio Tinto;300.0;1;13;1304;130408
2025T4;Porto;Gondomar;Rio Tinto;10.35;7;13;1304;130408
2025T4;Porto;Felgueiras;Margaride, Várzea, Lagares, Varziela e Moure;20.7;1;13;1303;130335
2025T4;Porto;Maia;Cidade da Maia;20.7;1;13;1306;130619
2025T4;Porto;Maia;Cidade da Maia;10.35;14;13;1306;130619
2025T4;Porto;Maia;Cidade da Maia;1260.0;1;13;1306;130619
2025T4;Porto;Maia;Cidade da Maia;135.0;1;13;1306;130619
2025T4;Porto;Maia;Águas Santas;400.0;1;13;1306;130601
2025T4;Porto;Maia;Águas Santas;6.9;2;13;1306;130601
2025T4;Porto;Porto;Aldoar, Foz do Douro e Nevogilde;93.0;1;13;1312;131216
2025T4;Porto;Porto;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;20.7;6;13;1312;131217
2025T4;Porto;Porto;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;100.0;2;13;1312;131217
2025T4;Porto;Porto;Paranhos;6.9;4;13;1312;131210
2025T4;Porto;Porto;Bonfim;150.0;1;13;1312;131202
2025T4;Porto;Porto;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;800.0;3;13;1312;131217
2025T4;Porto;Matosinhos;Matosinhos e Leça da Palmeira;4000.0;1;13;1308;130812
2025T4;Porto;Matosinhos;Matosinhos e Leça da Palmeira;500.0;1;13;1308;130812
2025T4;Porto;Matosinhos;Matosinhos e Leça da Palmeira;150.0;1;13;1308;130812
2025T4;Porto;Gondomar;Fânzeres e São Pedro da Cova;13.8;2;13;1304;130413
2025T4;Porto;Gondomar;Fânzeres e São Pedro da Cova;170.0;1;13;1304;130413
2025T4;Porto;Lousada;Cristelos, Boim e Ordem;10.35;1;13;1305;130528
2025T4;Porto;Vila do Conde;Árvore;6.9;1;13;1316;131602
2025T4;Porto;Vila do Conde;Touguinha e Touguinhó;6.9;1;13;1316;131636
2025T4;Porto;Vila Nova de Gaia;Mafamude e Vilar do Paraíso;7351.64;1;13;1317;131727
2025T4;Porto;Vila Nova de Gaia;Santa Marinha e São Pedro da Afurada;172.5;1;13;1317;131730
2025T4;Porto;Vila Nova de Gaia;Canidelo;6.9;2;13;1317;131704
2025T4;Porto;Penafiel;Penafiel;120.0;3;13;1311;131139
2025T4;Porto;Penafiel;Penafiel;400.0;2;13;1311;131139
2025T4;Porto;Paços de Ferreira;Penamaior;99.0;1;13;1309;130913
2025T4;Porto;Matosinhos;São Mamede de Infesta e Senhora da Hora;41.4;3;13;1308;130814
2025T4;Porto;Matosinhos;Perafita, Lavra e Santa Cruz do Bispo;50.0;1;13;1308;130813
2025T4;Porto;Paredes;Gandra;400.0;1;13;1310;131011
2025T4;Porto;Matosinhos;São Mamede de Infesta e Senhora da Hora;500.0;1;13;1308;130814
2025T4;Porto;Matosinhos;Custóias, Leça do Balio e Guifões;500.0;1;13;1308;130811
2025T4;Porto;Vila do Conde;Vila do Conde;41.4;6;13;1316;131628
2025T4;Porto;Vila do Conde;Azurara;400.0;2;13;1316;131604
2025T4;Porto;Póvoa de Varzim;AVer-o-Mar, Amorim e Terroso;75.0;1;13;1313;131313
2025T4;Porto;Porto;Campanhã;100.0;1;13;1312;131203
2025T4;Porto;Porto;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;17.25;2;13;1312;131217
2025T4;Porto;Porto;Lordelo do Ouro e Massarelos;41.4;3;13;1312;131218
2025T4;Porto;Porto;Paranhos;1125.0;1;13;1312;131210
2025T4;Porto;Porto;Paranhos;75.0;1;13;1312;131210
2025T4;Porto;Porto;Ramalde;200.0;2;13;1312;131211
2025T4;Porto;Matosinhos;Matosinhos e Leça da Palmeira;138.0;1;13;1308;130812
2025T4;Porto;Maia;Vila Nova da Telha;250.0;1;13;1306;130616
2025T4;Porto;Maia;Moreira;10.35;3;13;1306;130609
2025T4;Porto;Maia;Cidade da Maia;472.5;1;13;1306;130619
2025T4;Porto;Maia;Folgosa;10.35;2;13;1306;130603
2025T4;Porto;Porto;Paranhos;200.0;3;13;1312;131210
2025T4;Porto;Porto;Ramalde;750.0;1;13;1312;131211
2025T4;Porto;Porto;Ramalde;13.8;4;13;1312;131211
2025T4;Porto;Porto;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;630.0;3;13;1312;131217
2025T4;Porto;Porto;Campanhã;250.0;1;13;1312;131203
2025T4;Porto;Porto;Campanhã;41.4;2;13;1312;131203
2025T4;Porto;Porto;Campanhã;170.0;1;13;1312;131203
2025T4;Porto;Vila Nova de Gaia;Mafamude e Vilar do Paraíso;300.0;2;13;1317;131727
2025T4;Porto;Vila Nova de Gaia;Santa Marinha e São Pedro da Afurada;130.0;1;13;1317;131730
2025T4;Porto;Vila Nova de Gaia;Arcozelo;20.7;2;13;1317;131701
2025T4;Porto;Vila Nova de Gaia;Arcozelo;6.9;3;13;1317;131701
2025T4;Porto;Amarante;Vila Meã;6.9;1;13;1301;130147
2025T4;Porto;Vila do Conde;Vila Chã;6.9;1;13;1316;131627
2025T4;Porto;Valongo;Valongo;400.0;2;13;1315;131505
2025T4;Porto;Valongo;Ermesinde;10.35;3;13;1315;131503
2025T4;Porto;Valongo;Ermesinde;300.0;1;13;1315;131503
2025T4;Porto;Trofa;Coronado (São Romão e São Mamede);630.0;1;13;1318;131811
2025T4;Porto;Lousada;Nespereira e Casais;10.35;1;13;1305;130531
2025T4;Porto;Lousada;Torno;41.4;1;13;1305;130525
2025T4;Porto;Marco de Canaveses;Marco;160.0;1;13;1307;130736
2025T4;Porto;Gondomar;Rio Tinto;4000.0;1;13;1304;130408
2025T4;Porto;Santo Tirso;Aves;160.0;1;13;1314;131405
2025T1;Porto;Santo Tirso;Negrelos (São Tomé);41.4;1;13;1314;131430
