Quarter;District;Municipality;Parish;Maximum Admissible Power (kW);Connection points for electric vehicles charging stations;DistrictCode;DistrictMunicipalityCode;DistrictMunicipalityParishCode
2025T2;Porto;Felgueiras;Margaride, Várzea, Lagares, Varziela e Moure;66.0;1;13;1303;130335
2025T2;Porto;Gondomar;Gondomar (São Cosme), Valbom e Jovim;10.35;4;13;1304;130415
2025T2;Porto;Porto;Lordelo do Ouro e Massarelos;1660.0;1;13;1312;131218
2025T2;Porto;Porto;Lordelo do Ouro e Massarelos;17.25;9;13;1312;131218
2025T2;Porto;Porto;Lordelo do Ouro e Massarelos;1000.0;1;13;1312;131218
2025T2;Porto;Porto;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;20.7;6;13;1312;131217
2025T2;Porto;Porto;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;1260.0;1;13;1312;131217
2025T2;Porto;Porto;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;150.0;1;13;1312;131217
2025T2;Porto;Porto;Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória;70.0;1;13;1312;131217
2025T2;Porto;Porto;Ramalde;1250.0;1;13;1312;131211
2025T2;Porto;Porto;Ramalde;750.0;1;13;1312;131211
